"clust_size","index_cases","cens_status"
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
2,2,0
2,1,0
2,2,0
2,2,0
2,2,0
2,2,0
2,2,0
2,2,0
2,1,0
2,2,0
2,2,0
2,2,0
2,2,0
2,2,0
2,1,0
2,1,0
2,2,0
2,1,0
2,1,0
3,2,0
3,2,0
3,2,0
3,1,0
3,3,0
4,1,0
4,4,0
4,2,0
4,2,0
4,2,0
4,4,0
4,2,0
5,3,0
6,6,1
6,3,1
8,8,1
8,1,1
9,5,1
10,3,1
11,3,0
29,7,1
147,25,1
